Recepção,(32) 3281-1281,PREFEITURA
Gabinete Prefeito,(32) 3281-1235,PREFEITURA
Secret. Saúde,(32) 3281-1440,PREFEITURA
Secret. Administração,(32) 3281-1281,PREFEITURA
Secret. Obras,(32) 3281 3266,PREFEITURA
Secret. Educação,(32) 3281-1573,PREFEITURA
Secret. Fazen/Finanças,(32) 3281-1281,PREFEITURA
Secret. Agric/Pecuária,(32) 3281-3266,PREFEITURA
Secret. Assist. Social,(32) 3281-1936,PREFEITURA
Secret. Meio Ambiente,(32) 3281-1195,PREFEITURA
Secret. Esporte,(32) 3281-3266,PREFEITURA
Secret. Turismo,(32) 3281-1195,PREFEITURA
Demae,(32) 3281-1981,PREFEITURA
Recepção,(32) 3281-1222,SANTACASA
Vimara,(32) 3281-1390,TRANSPORTE
Bassamar,(32) 3215-1109,TRANSPORTE
Sertaneja,(32) 3276-1125,TRANSPORTE
Taxi,(32) 3281-1200,TRANSPORTE
Recepção, "(32) 3281-1165,CAMARA
Ocorrência,190,POLICIA
Recepção,(32) 3281-1147,POLICIA
