Canto do Curiango,(32) 98402-2280,,,,,,IBITIPOCA,CASA,,,
Casa Alto da Colina,(32) 98414-0203,(32) 3212-3525,,,,,IBITIPOCA,CASA,,,
Casa August de Saint-Hilaire,(32) 3212-3525,(32) 98414-0203,(32) 98434-2429,,,,IBITIPOCA,CASA,,,
CASA BOSQUE DOS ARACIS,(32) 3281-8102,(32) 3281-8185,(32) 98405-9278 ,(32) 99989-1008,,,IBITIPOCA,CASA,,,
Casa Cantinho da Serra,(32) 98445-7898,(32) 98434-6337 ,(32) 99973-3690,(32) 98458-8013,,,IBITIPOCA,CASA,,,
Casa Chico Bertolino,(32) 98414-0203,(32)3212-3525,,,,,IBITIPOCA,CASA,,,
CASA DA BÁRBARA FORTES,(32) 98486-9657,,,,,,IBITIPOCA,CASA,,,
Casa da Lêda,(32) 98419-2065,,,,,,IBITIPOCA,CASA,,,
Casa da Leninha,(32) 3281-8171,(32) 98451-1769,(32) 98403-1389,,,,IBITIPOCA,CASA,,,
Casa da Lúcia,(32) 3281-8230,(32) 98412-5971,(32) 98496-9595,,,,IBITIPOCA,CASA,novaibitipoca@hotmail.com,,
Casa da Mata,(32) 98413-8014,,,,,,IBITIPOCA,CASA,,,
Casa da Montanha,(32) 98477-3121,(32) 98447-4000,,,,,IBITIPOCA,CASA,,,
CASA DA PEDRA,(32) 99968-4171,(32) 98489-7766,(32) 99151-9700,,,,IBITIPOCA,CASA,,,
Casa da Sandra,(32) 98489-5780,,,,,,IBITIPOCA,CASA,,,
CASA DA TECA,(32) 3026-4384 ,(32) 98417-3344,,,,,IBITIPOCA,CASA,teca.resende@gmail.com,,
Casa da Tia Dina,(32) 98437-7638,,,,,,IBITIPOCA,CASA,,,
Casa da Tia Iracema,(32) 98506-4998,(32) 3231-1234,,,,,IBITIPOCA,CASA,itaboraimarcus@gmail.com,,
CASA DAS ESTRELAS,(32) 9963-1257,(32) 98403-7971,,,,,IBITIPOCA,CASA,,,
Casa das Orquídeas,(32) 3281-8102 ,(32) 98405-9278,(32) 3281-8185,,,,IBITIPOCA,CASA,,,
CASA DO ADRIANO,(32) 98468-2324,,,,,,IBITIPOCA,CASA,,,
Casa do Alcino,(32) 98414-8462,(32) 98409-0183,,,,,IBITIPOCA,CASA,luana_ribeiro23@hotmail.com,,
Casa do Alto,(32) 98404-3425 ,(32) 98453-2080,(32) 99810-7345,(32) 98410-3487,,,IBITIPOCA,CASA,casaalto@hotmail.com,,
Casa do Arco-íris,(32) 99902-3316 ,(32) 98492-4209 ,,,,,IBITIPOCA,CASA,,,
Casa do Elisangelo e da Nenem,(32) 3281-1552,(32) 99958-3757,(32) 98487-0238,(32) 3281-2579,,,IBITIPOCA,CASA,,,
Casa do Fôrma,(32) 98402-3838,,,,,,IBITIPOCA,CASA,,,
Casa do Gavião,(32) 98468-2324,,,,,,IBITIPOCA,CASA,,,
Casa do Giovanni,(21) 99606-8291,,,,,,IBITIPOCA,CASA,giolucheses@gmail.com,,
Casa do Juninho,(32) 99989-1624,(32) 99903-1534,(32) 98431-4196,,,,IBITIPOCA,CASA,,,
Casa do Minhoca,(32) 98406-7986,,,,,,IBITIPOCA,CASA,,,
Casa do Moreno,(32) 3211-0296 ,(32) 98433-9922,,,,,IBITIPOCA,CASA,patriciapimentel8@gmail.com,,
Casa do Sol Poente,(32) 98491-1702,(32) 98495-7520,,,,,IBITIPOCA,CASA,,,
Casa do Tilema,(32) 3281-8181,(32) 98402-3701,(32) 3281-1709,,,,IBITIPOCA,CASA,,,
Casa do Zé Geraldo,(32) 3281-8153 ,(32) 98404-2991,,,,,IBITIPOCA,CASA,,,
Casa do Zé Tatão,(32) 98414-1652,,,,,,IBITIPOCA,CASA,,,
Casa e Chalés Picharro,(32) 98803-9391,(32) 98407-6811,,,,,IBITIPOCA,CASA,,,
Casa Fazenda do Pilar,(32) 3281-2202,(32) 99963-0683,(32) 98411-5206,,,,IBITIPOCA,CASA,aluarthevidros@hotmail.com,,
Casa Mirante da Serra,(32) 98832-1725,,,,,,IBITIPOCA,CASA,,,
Casa Olho do Sol,(32) 98403-7971 ,(32) 3281-8120,(32) 99977-5484,(32) 99914-5330,,,IBITIPOCA,CASA,,,
Casa Pertinho do Céu,(32) 98506-4998,(32) 3231-1234,,,,,IBITIPOCA,CASA,itaboraimarcus@gmail.com,,
Casa Pôr do Sol,(32) 98857-7517,,,,,,IBITIPOCA,CASA,alfeugomes.enf@gmail.com,,
Casa Sentinela da Serra,(32) 98414-5922,(32) 98408-3035,(32) 98864-3073,(32) 98819-6922,,,IBITIPOCA,CASA,casasentineladaserra@gmail.com,,
Casa Siritinga,(32) 3281-2410,(32) 98825-1616,(32) 98886-5937,,,,IBITIPOCA,CASA,delmapat@yahoo.com.br,,
CASA SOL & LUA,(32) 3281-3028 ,(32) 98409-8916,,,,,IBITIPOCA,CASA,erikapaivamg@gmail.com,,
Casa Sombra da Candeia,(32) 98404-6999,(32) 3026-5882,,,,,IBITIPOCA,CASA,lee9aguiar@yahoo.com.br,,
Casa Varanda do Oeste,(32) 98444-0836,,,,,,IBITIPOCA,CASA,,,
CASA VERDE,(21) 98117-1986,,,,,,IBITIPOCA,CASA,martinsgaruda@gmail.com,,
Casinha do Bem,(32) 98401-2313,,,,,,IBITIPOCA,CASA,casinhadobem@gmail.com ,,
CHALÉ CACHOEIRINHA,(32) 98449-0252,(32) 98429-8378,,,,,IBITIPOCA,CASA,,,
Chalé Canto da Vila,(32) 98403-0383,,,,,,IBITIPOCA,CASA,antonioibit@gmail.com,,
Chalé Canto das Pedras,(32) 99818-1075,(32) 98406-7752,,,,,IBITIPOCA,CASA,renatopachecochales@outlook.com,,
Chalé da Dona Maria Rosa,(32) 3281-8171 ,(32) 98451-1769,,,,,IBITIPOCA,CASA,,,
Chalé da Léia,(32) 98415-4773,,,,,,IBITIPOCA,CASA,,,
CHALÉ DA MALU,(32) 3218-6860,(32) 98414-0292,,,,,IBITIPOCA,CASA,chaledamalu@hotmail.com,,
Chalé do Só,(32) 98481-6931,(21) 99713-3058,,,,,IBITIPOCA,CASA,,,
CHALÉ DOS AMERICANOS,(32) 3233-1322,(32) 3241-7993,(32) 98844-0026,(32) 99988-9868,,,IBITIPOCA,CASA,,,
CHALÉ DOS BANDEIRANTES,(32) 98404-3905,,,,,,IBITIPOCA,CASA,,,
Chalé dos Sonhos,(32) 98450-4576,,,,,,IBITIPOCA,CASA,ednaroli2008@hotmail.com,,
Chalé Guará,(32) 98458-8923,(32) 98449-4199,,,,,IBITIPOCA,CASA,,,
Chalé Ibitisol,(32) 98473-5216,,,,,,IBITIPOCA,CASA,,,
CHALÉ PONTO DE VISTA,(32) 98818-5579 ,(32) 98405-5479,(32) 98426-1339,,,,IBITIPOCA,CASA,,,
Chalé Tibet Mineiro,(32) 3214-3012,(32) 98846.2245,,,,,IBITIPOCA,CASA,sergiojr@powerline.com.br,,
Chalé Vanessa e Kiko,(32) 98407-5320,,,,,,IBITIPOCA,CASA,,,
Chalés Samambaia,(32) 3281-1300,(32) 98887-5576,,,,,IBITIPOCA,CASA,chalesamambaia@yahoo.com.br,,
Descanso do Sol,(31) 98489-7179,,,,,,IBITIPOCA,CASA,,,
ESTALAGEM REAL,(32) 98425-9183,(32) 99967-7930,,,,,IBITIPOCA,CASA,,,
Ibitichalés,(32) 98412-5966,(32) 98857-7517,,,,,IBITIPOCA,CASA,,,
Lar do Lívio e da Paula,(32) 98852-3141,(32) 98834-5694,(32) 3333-4276,(32) 98482-2479,,,IBITIPOCA,CASA,,,
Nelson's House,(32) 98409-1529,(32) 98428-1107,(32) 3281-8202,,,,IBITIPOCA,CASA,nelsonibiti@gmail.com,,
Recanto dos Amigos,(32) 98505-2577,(32) 3281-1480,,,,,IBITIPOCA,CASA,chalesvaledosol@yahoo.com.br,,
Reserva do Tio Olavo,(32) 98409-6384,,,,,,IBITIPOCA,CASA,,,
Sítio Agravio,(32) 98858-5462,,,,,,IBITIPOCA,CASA,,,
Varandas da Serra,(32) 98414-0203,(32) 3212-3525,,,,,IBITIPOCA,CASA,,,
