ABBAC,(32) 3281-2933,(32) 98405-5352,(32) 98405-5684,,Rua Alfredo Catão,223,Centro,Clínica,,-21.838.246,-43.790.236
AÇOUGUE DO POVO,(32) 3281-2369,,,,AV CENTERNARIO,60 LJ 1,CENTRO,AÇOUGUE,,-21837527,-43.791.039
AÇOUGUE FRICARNES,(32) 3281-1853,,,,Pc Juscelino Kubitschek,124,CENTRO,AÇOUGUE,,,
AÇOUGUE IMPARCIAL,(32) 3281-1378,,,,Rua Manoel Otaviano Ferreira,391,Barreira,AÇOUGUE,,,
Dionízio A Moura,(32) 3281-1550,,,,RUA CLEMENTE ARMANDO MOREIRA,,CRUZEIRO,AÇOUGUE,,,
AÇOUGUE LIMA DUARTE,(32) 3281-1419,(32) 98809-1452,,,A. CARLOS,142,Centro,AÇOUGUE,,,
AGROINDUSTRIA E COM. SERRA NEGRA LTDA,(32) 3281-2878,(32) 3281-1237,,,,S/N,,LATICINIO,,,
AGROPECUÁRIA PAIOL DE MINAS ,(32) 3281-1724,,,,B. DE PAULA,775,CRUZEIRO,Agropecuária,,,
Agrovila,(32) 3281-1567,,,,Rua Pedro Padre Nogueira,510,Cruzeiro,Agropecuária,,,
Aluarthe Vidros,(32) 3281-2202,(32) 99963-0683,,,Rua Manoel Otaviano Ferreira,408,Barreira,Vidraçaria,,,
ALVINHO FOTOS E VÍDEOS,(32) 3281-2772,,,,Rua Alfredo Catão,88 LJ 7 ,CENTRO,FOTOGRAFIA,,,
AMARO CORRETAGEM ,(32) 3281-1389,,,,DR M PAULA,78,Centro,CORRETOR,,,
Análises Clínicas Almeida,(32) 3281-1294,,,,Rua Dr. Manoel de Paula,39,Centro,LABORÁTORIO,,,
ANSELMO M NUNES,(32) 3281-1126,,,,AV CONTORNO,106,SANTA TEREZINHA,TRANSPORTE ,,,
APAE LIMA DUARTE ,(32) 3281-2954,,,,D DÁVILA,88,CRUZEIRO,APAE,,,
ARAGÃO PRESENTES GÁS E ÁGUA MINERAL,(32) 3281-1842,,,,PÇA N P DUQUE,42,Centro,LOJA E DISTRIBUIDORA ,,,
ARMARINHO E PAPELARIA LIMA DUARTE,(32) 3281-2031,,,,A. CATÃO,32 LJ 2 ,Centro,PAPELARIA,,,
Armarinho e Papelaria Lima Duarte,(32) 3281-2031,,,,Rua Antônio Carlos,32 Lj 2,Centro,Papelaria,,,
ARMAZEM DE LIMA DUARTE,(32) 3281-1316,,,,Pc Juscelino Kubitschek,182,Centro,Restaurante,,,
ARTE SABOR DE MINAS,(32) 3281-4048,,,,BR 267 KM 153,,MANEJO,LATÍCINIO,,,
ASSEMBLEIA DE DEUS CARISMATICO ,(32) 3281-1994,,,,PRES C SILVA ,245,CRUZEIRO,IGREJA,,,
