Pousada Casa das Bromélias,(32) 98401-1647,(32) 3281-8136,,,,,IBITIPOCA,POUSADA,reserva@cantodavida.com.br,,
ALQUIMIA CHALÉS,(32) 98423-8235,(32) 99958-9024,(32) 98423-8218,,,,IBITIPOCA,CHALE,alquimiaibitipoca@hotmail.com,,
ChALE NATIVO,(32) 3281-8204,(32) 98439-6127,,,,,IBITIPOCA,CHALE,chalenativoibit@hotmail.com,,
Chalés Alternativa,(32) 3281-8104,(32) 98510-0448,(32) 98403-2178,,,,IBITIPOCA,CHALE,chales.alternativa@hotmail.com,,
CHALÉS BELVEDERE,(32) 984404-6796,(32) 99965-4100,(32) 98510-8056,(32) 98864-1785,,,IBITIPOCA,CHALE,,,
Chalés Canto da Paz,(32) 98404-8058,(32) 3281-8119,,,,,IBITIPOCA,CHALE,chalecantodapazttl@hotmail.com,,
CHALÉS CANTO DA SERRA,(32) 3281-8203,(32) 98402-4001,(32) 98429-0540,,,,IBITIPOCA,CHALE,cantodaserra.rith@gmail.com,,
Chalés IBITIAÇU,(32) 3281-8231,(32) 3281-8153,(32) 98404-3073,(32) 98402-1319,,,IBITIPOCA,CHALE,,,
Chalés São Geraldo,(32) 3281 8130,(32) 98403-0272,,,,,IBITIPOCA,CHALE,chalessaogeraldo@hotmail.com,,
Chalés Vale do Sol,(32) 3281 8141,(32) 98431-1054,(32) 98402-9341,,,,IBITIPOCA,CHALE,chalesvaledosol@yahoo.com.br,,
Chalés Vale Verde,(32) 98451-5042,(32) 98404-6008,,,,,IBITIPOCA,CHALE,raquelalmeidapaula@yahoo.com.br,,
Chalés Villa Nova,(32) 3281 8230,(32) 98412-5971,(32) 98446-6138,,,,IBITIPOCA,CHALE,novaibitipoca@hotmail.com,,
Hotel Alpha Ville Chalés,(32) 3281-8102,(32) 3281-8185,(32) 98405-9278,(32) 99989-1008,,,IBITIPOCA,CHALE,,,
Mãos de Maria Hospedagem,(32) 98491-6469,(32) 3281-8146,(32) 98442-6118,,,,IBITIPOCA,POUSADA,maosdemaria@hotmail.com,,
Pousada Alto dos Manacás,(32) 98401-0027,(32) 98403-8558,,,,,IBITIPOCA,POUSADA,,,
Pousada Aquárius,(32) 98402-0377,,,,,,IBITIPOCA,POUSADA,reservas.aquarius@oi.com.br,,
Pousada AR DA GRAÇA,(32) 3281-8155,(32) 98443-3697,,,,,IBITIPOCA,POUSADA,,,
POUSADA CANELA DE EMA,(32) 98403-9553,(32) 98406-9772,,,,,IBITIPOCA,POUSADA,pousadacaneladeema@hotmail.com,,
Pousada Cantinho das Fadas,(21) 99116-5990,,,,,,IBITIPOCA,POUSADA,cantinhodasfadasibitipoca@gmail.com,,
POUSADA DA DONA BALDUÍNA,(32) 3281 8122,,,,,,IBITIPOCA,POUSADA,,,
Pousada Estrela da Serra,(32) 3281-8102,(32) 3281-8185,,,,,IBITIPOCA,POUSADA,,,
POUSADA IBITILUA,(32) 3281 8211,(32) 98401-5547,(32) 3281-8200,,,,IBITIPOCA,POUSADA,,,
POUSADA JANELA DO CÉU,(32) 3281-8118,(32) 98401-9629,,,,,IBITIPOCA,POUSADA,janeladoceu@janeladoceu.com.br,,
POUSADA PASTO DO LAMBARI,(32) 3281-8131,(32) 98417-7261,(32) 98408-0455,,,,IBITIPOCA,POUSADA,pastodolambari@gmail.com,,
POUSADA POENTE,(32) 98424-8304,(32) 3281-8125,,,,,IBITIPOCA,POUSADA,pousadapoente.ibitipoca@hotmail.com,,
POUSADA SANGHA PYÃRA,(32) 98440-1547,(32) 98442-1882,,,,,IBITIPOCA,POUSADA,sanghapyara@gmail.com,,
Pousada Sossego,(32) 3281-8137,(11) 4545-5660,(11) 97576-3026,,,,IBITIPOCA,POUSADA,analagereis@hotmail.com,,
Pousada Tangará,(32) 3281-8117,(32) 98443-1826,,,,,IBITIPOCA,POUSADA,contato@pousadatangara.com.br,,
POUSADA VIDA LEVE,(32) 3281-8150,(32) 984451-0878,,,,,IBITIPOCA,POUSADA,,,
Quinta do Barão Chalés,(32) 98455-4533,,,,,,IBITIPOCA,CHALE,quintadobarao.chales@oi.com.br,,
REPOUSADA CHALÉS,(32) 3281-8112,(32) 98404-2869,,,,,IBITIPOCA,CHALE,repousada@repousada.com,,
Reserva Canto da Vida,(32) 98401-1647,(32) 3281-8136,,,,,IBITIPOCA,POUSADA,,,
SERRA DO IBITIPOCA HOTEL DE LAZER,(32) 3281-8148,(32) 98404-2885,,,,,IBITIPOCA,POUSADA,,,
Sítio Chalés Meu Recanto,(32) 3281 8123,,,,,,IBITIPOCA,CHALE,chalesmeurecanto@gmail.com,,
Sítio das Hortências,(32) 99936-1953,(32) 98408-6605,,,,,IBITIPOCA,POUSADA,,,
